CompanyName,Net Worth (Market Cap),Market Share,Vertical Integration Index,Sources
Nestlé,$252.94B,~8-10% (global food/beverage),Extensive,"companiesmarketcap.com, statista.com, IBISWorld"
Procter & Gamble,$356.39B,~15% (household/personal care),High,"companiesmarketcap.com, statista.com, P&G annual report"
Unilever,$150.05B,~6-8% (consumer goods),High,"companiesmarketcap.com, Unilever annual report, Euromonitor"
PepsiCo,$195.33B,~25% (US snacks); ~10% (global beverages),Extensive,"companiesmarketcap.com, PepsiCo annual report, Beverage Digest"
The Coca-Cola Company,$296.61B,~43% (global soft drinks),High,"companiesmarketcap.com, Coca-Cola annual report, Beverage Digest"
LVMH,$346.57B,~10% (global luxury goods),High,"companiesmarketcap.com, LVMH annual report, Bain Luxury Study"
L'Oréal,$246.61B,~12% (global beauty/cosmetics),Medium,"companiesmarketcap.com, L'Oréal annual report, Euromonitor"
Mondelez International,$80.18B,~8% (global snacks/confectionery),Medium,"companiesmarketcap.com, Mondelez annual report, Euromonitor"
Kellogg Company,$23.5B,~6% (breakfast cereals),Medium,"companiesmarketcap.com, Kellogg annual report, Euromonitor"
General Mills,$25.73B,~7% (breakfast cereals/snacks),Medium,"companiesmarketcap.com, General Mills annual report, Statista"
"Mars, Incorporated",$45B (private),~15% (confectionery/petcare),High,"Forbes Private Companies, Candy Industry, Pet Food Industry"
Diageo PLC,$85B,~8% (spirits),Medium,"companiesmarketcap.com, Diageo annual report, IWSR"
Anheuser-Busch InBev,$122.90B,~28% (global beer),Extensive,"companiesmarketcap.com, AB InBev annual report, Euromonitor"
Heineken Holding N.V.,$55B,~10% (global beer),High,"companiesmarketcap.com, Heineken annual report, Euromonitor"
Kimberly-Clark Corp.,$45B,~20% (tissue/personal care),High,"companiesmarketcap.com, Kimberly-Clark annual report, Euromonitor"
Colgate-Palmolive,$75B,~15% (oral care/personal care),High,"companiesmarketcap.com, Colgate annual report, Euromonitor"
Reckitt Benckiser,$50B,~5% (health/hygiene),Medium,"companiesmarketcap.com, Reckitt annual report, Euromonitor"
Estée Lauder Companies,$40B,~5% (prestige beauty),Medium,"companiesmarketcap.com, Estée Lauder annual report, NPD"
Johnson & Johnson Consumer Health,$55B,~8% (consumer health),High,"J&J annual report, Kenvue IPO documents, Euromonitor"
The Kraft Heinz Company,$40B,~3% (packaged foods),Medium,"companiesmarketcap.com, Kraft Heinz annual report, Euromonitor"
Danone,$45B,~4% (dairy/beverages),High,"companiesmarketcap.com, Danone annual report, Euromonitor"
