BrandName,ProductName
Coca-Cola,Coke
Coca-Cola,Diet Coke
Coca-Cola,Coke Zero
Coca-Cola,Coca-Cola Zero Sugar
Coca-Cola,Cherry Coke
Coca-Cola,Vanilla Coke
Coca-Cola,Coca-Cola Life
Coca-Cola,Coca-Cola Energy
Coca-Cola,Coca-Cola with Coffee
Coca-Cola,Coca-Cola Orange Vanilla
Coca-Cola,Coca-Cola Cinnamon
Coca-Cola,Cherry Coke Zero
Coca-Cola,Vanilla Coke Zero
Pepsi,Pepsi-Cola
Pepsi,Pepsi Max
Pepsi,Pepsi Zero Sugar
Pepsi,Diet Pepsi
Pepsi,Pepsi Wild Cherry
Pepsi,Pepsi Vanilla
Pepsi,Pepsi Lime
Pepsi,Pepsi Real Sugar
Pepsi,Crystal Pepsi
Mountain Dew,Mtn Dew
Mountain Dew,Diet Mountain Dew
Mountain Dew,Mountain Dew Code Red
Mountain Dew,Mountain Dew Voltage
Mountain Dew,Mountain Dew Live Wire
Mountain Dew,Mountain Dew Pitch Black
Mountain Dew,Mountain Dew Kickstart
Sprite,Sprite Zero
Sprite,Sprite Lymonade
Sprite,Sprite Tropical Mix
Sprite,Sprite Cranberry
Fanta,Fanta Orange
Fanta,Fanta Grape
Fanta,Fanta Strawberry
Fanta,Fanta Pineapple
Fanta,Fanta Zero
Fanta,Fanta Berry
Fanta,Fanta Fruit Punch
Dr Pepper,Dr Pepper Cherry
Dr Pepper,Dr Pepper Cream Soda
Dr Pepper,Dr Pepper & Cream Soda
Dr Pepper,Diet Dr Pepper
Dr Pepper,Dr Pepper Zero Sugar
Dr Pepper,Dr Pepper TEN
7UP,7UP Cherry
7UP,Diet 7UP
7UP,7UP Zero Sugar
7UP,7UP Free
Canada Dry,Canada Dry Ginger Ale
Canada Dry,Canada Dry Club Soda
Canada Dry,Canada Dry Tonic Water
A&W,A&W Root Beer
A&W,A&W Cream Soda
A&W,A&W Zero Sugar
Barq's,Barq's Root Beer
Barq's,Barq's Red Creme Soda
Mello Yello,Mello Yello Zero
Sunkist,Sunkist Orange
Sunkist,Sunkist Strawberry
Crush,Crush Orange
Schweppes,Schweppes Ginger Ale
Schweppes,Schweppes Tonic Water
Fresca,Fresca Original
Minute Maid,Minute Maid Orange Juice
Minute Maid,Minute Maid Pulpy
Minute Maid,Minute Maid Lemonade
Simply,Simply Orange
Simply,Simply Lemonade
Simply,Simply Grapefruit
Simply,Simply Cranberry
Simply,Simply Almond
Simply,Simply Light
Simply,Simply Smoothie
Tropicana,Tropicana Pure Premium
Tropicana,Tropicana Essentials
Tropicana,Tropicana Farmstand
Tropicana,Tropicana Twister
Naked,Naked Juice
Naked,Naked Green Machine
Mott's,Mott's Apple Juice
Mott's,Mott's Applesauce
Mott's,Mott's for Tots
Capri Sun,Capri Sun Organic
Hawaiian Punch,Hawaiian Punch Fruit Juicy Red
Hawaiian Punch,Hawaiian Punch Green Berry Rush
V8,V8 Original
V8,V8 Fusion
V8,V8 Splash
V8,V8 Energy
Del Valle,Del Valle Juices
Gatorade,Gatorade Thirst Quencher
Gatorade,Gatorade Zero
Gatorade,Gatorade Frost
Gatorade,Gatorade Fierce
Powerade,Powerade Mountain Blast
Powerade,Powerade Zero
Powerade,Powerade Ultra
BodyArmor,BodyArmor Sports Drink
BodyArmor,BodyArmor Lyte
BodyArmor,BodyArmor Edge
BodyArmor,BodyArmor Flash IV
Propel,Propel Fitness Water
vitaminwater,vitaminwater Zero
vitaminwater,vitaminwater XXX
vitaminwater,vitaminwater Energy
Red Bull,Red Bull Energy Drink
Red Bull,Red Bull Sugarfree
Red Bull,Red Bull Zero
Red Bull,Red Bull Summer Edition
Red Bull,Red Bull Winter Edition
Red Bull,Red Bull Tropical Edition
Red Bull,Red Bull Organics
Monster Energy,Monster Ultra
Monster Energy,Monster Zero Sugar
Monster Energy,Monster Java
Monster Energy,Monster Rehab
Monster Energy,Monster Juice
Rockstar,Rockstar Energy
Rockstar,Rockstar Original
Rockstar,Rockstar Punched
Rockstar,Rockstar Recovery
Bang,Bang Energy
Celsius,Celsius Live Fit
Celsius,Celsius On-The-Go
Celsius,Celsius Heat
Celsius,Celsius BCAA
Celsius,Celsius Essentials
NOS,NOS Energy
AMP,AMP Energy
AMP,AMP Energy Drink
Reign,Reign Total Body Fuel
Reign,Reign Storm
Dasani,Dasani Purified Water
Dasani,Dasani Sparkling
Aquafina,Aquafina Purified Water
Aquafina,Aquafina FlavorSplash
Aquafina,Aquafina Alive
Smartwater,Smartwater Alkaline
Smartwater,Smartwater Antioxidant
Topo Chico,Topo Chico Mineral Water
Topo Chico,Topo Chico Hard Seltzer
Topo Chico,Topo Chico Twist of Lime
LaCroix,LaCroix Sparkling Water
LaCroix,LaCroix Cúrate
LaCroix,LaCroix NiCola
bubly,bubly sparkling water
bubly,bubly bounce
bubly,bubly drops
AHA,AHA Sparkling Water
AHA,AHA Lime Watermelon
Lipton,Lipton Tea
Lipton,Lipton Iced Tea
Lipton,Lipton Yellow Label
Gold Peak,Gold Peak Tea
Gold Peak,Gold Peak Sweet Tea
Gold Peak,Gold Peak Unsweetened
Pure Leaf,Pure Leaf Tea
Pure Leaf,Pure Leaf Iced Tea
Snapple,Snapple Lemon Tea
Snapple,Snapple Peach Tea
Snapple,Snapple Diet
Snapple,Snapple Elements
Honest Tea,Honest Tea Organic
Honest Tea,Honest Kids
Brisk,Brisk Iced Tea
Nescafé,Nescafé Gold
Nescafé,Nescafé Dolce Gusto
Nescafé,Nescafé Clásico
Nescafé,Nescafé Taster's Choice
Folgers,Folgers Classic Roast
Folgers,Folgers Black Silk
Folgers,Folgers Simply Smooth
Folgers,Folgers 1850
Maxwell House,Maxwell House Master Blend
Dunkin',Dunkin' Donuts Coffee
Dunkin',Dunkin' Original Blend
Starbucks,Starbucks Ready-to-Drink
Starbucks,Frappuccino
Starbucks,Doubleshot
Starbucks,Starbucks Refreshers
Green Mountain,Green Mountain Coffee
Green Mountain,Green Mountain Breakfast Blend
Peet's,Peet's Coffee
Peet's,Peet's Major Dickason's Blend
Café Bustelo,Café Bustelo Espresso
Keurig,K-Cup
Lay's,Lay's Classic
Lay's,Lay's Baked
Lay's,Lay's Kettle Cooked
Lay's,Lay's Poppables
Lay's,Lay's Stax
Lay's,Lay's Wavy
Lay's,Wavy Lay's
Lay's,Lay's Lightly Salted
Lay's,Baked Lay's
Doritos,Doritos Nacho Cheese
Doritos,Doritos Cool Ranch
Doritos,Doritos Flamin' Hot
Doritos,Doritos 3D
Doritos,Doritos Dinamita
Doritos,Doritos Jacked
Cheetos,Cheetos Crunchy
Cheetos,Cheetos Puffs
